รหัสโครงการ,ชื่อโครงการ(Draft),งบประมาณโครงการ,เลขที่สัญญา,วันที่เซ็นสัญญา,วันที่เริ่มสัญญา,วันที่สิ้นสุดสัญญา,วันที่สิ้นสุดประกัน,สถานะโครงการ
AR68-0033,HW กรมกิจการผู้สูงอายุ งบ69,"$1,900,000.00 ",,,,,,นำเสนอ/ติดตาม
AR68-0025,AR68-0025_ลิขสิทธิ์การใช้งาน 69 สอน,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR68-0040,Business Intelligence กสอ,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR67-0034,HW ครุภํณฑ์คอมพิวเตอร์ที่มีราคาต่อหน่วยต่ำกว่า 1 ล้านบาท สอน,"$559,700.00 ",,,,,,นำเสนอ/ติดตาม
SA68-0030,HW-NAS Storage Synology,"$70,000.00 ",,,,,,ได้งาน/เซ็นสัญญาแล้ว
CC67-0022,จ้างเหมาบริการจัดการโครงการ Government Information Network (GIN) พร้อมจัดทำรายงาน สำหรับสำนักงานพัฒนารัฐบาลดิจิทัล (องค์การมหาชน),"$1,920,000.00 ",ใบสั่งจ้างเลขที่ 3600006737,11/10/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0005,MA_Network สผ,"$1,997,000.00 ",Mar-68,17/10/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0032,HW PC ประมวลผลแบบที่ 1 จำนวน 1 เครื่อง สอน,"$44,200.00 ",,,,,,นำเสนอ/ติดตาม
AP68-0021,กล้องลานจอดรถ จุฬา,"$243,746.00 ", อว 64.12/1564,27/03/2025 0:00,28/03/2025 0:00,26/05/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA67-0055,Dev_Security สมช ปี68,"$30,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0016,Dev ระบบยื่นคำขอใบอนุญาตทำเหมืองแร่ (ประทานบัตร) กพร,"$8,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0106,HDD สผ,$0.00 ,,,,,,นำเสนอ/ติดตาม
PJ67-0037,ทำมาตรฐานข้อมูลระบบชีวสารสนเทศเพื่อพัฒนา,"$106,000.00 ",ใบสั่งจ้างเลขที่ ศสส.จ35/67,14/03/2024 0:00,15/03/2024 0:00,13/04/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP68-0040,adapter surfacepro7+,"$8,645.00 ",อว 64.12/1997,24/04/2025 0:00,25/04/2025 0:00,23/05/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR67-0035,Dev ระบบฐานข้อมูลองค์ความรู้ดิจิทัล,"$1,050,000.00 ",,,,,,นำเสนอ/ติดตาม
AR68-0007,ปรับปรุงเครือข่าย สผ 69,$0.00 ,,,,,,นำเสนอ/ติดตาม
CC67-0019,งานจ้างเหมาบริการระบบบริหารจัดการและควบคุมดูแลระบบเครือข่ายโทรคมนาคม สำหรับ MUDA Platform สำหรับให้บริการแก่ บริษัท พีทีที ดิจิตอล โซลูชั่น จำกัด จำนวน 1 งาน ,"$1,914,500.00 ",ใบสั่งจ้างเลขที่ 360006785,13/11/2024 0:00,01/11/2024 0:00,30/09/2027 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA67-0002,Rent - PC 105 set งบปี 68 3 เดือน ตค-ธค 67,"$407,925.00 ",ใบสั่งซื้อเลขที่ 12/68,09/10/2024 0:00,01/10/2024 0:00,31/12/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA67-0036,Dev- บริหารจัดการระบบเว็บท่า (Web Portal) งบปี 68,"$15,379,000.00 ",AIT680106/01,27/11/2024 0:00,27/11/2024 0:00,25/03/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0010,ปรับปรุงสายสัญญาณเครือข่าย ปี68,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR67-0007,HW ของบ 68 กสอ,"$10,600,000.00 ",,,,,,นำเสนอ/ติดตาม
SA67-0012,HW-PC ICT SU,"$2,287,400.00 ",ICT4/2567,23/07/2024 0:00,24/08/2024 0:00,22/09/2024 0:00,22/09/2025 0:00,ได้งาน/เซ็นสัญญาแล้ว
NT68-0012,งาน พ่อบ้าน ,$0.00 ,,,,,,ได้งาน
AR67-0015,Dev ระบบยื่นคำขอใบอนุญาตสำรวจแร่ (อาชญาบัตร) กพร,"$4,000,000.00 ",,,,,,นำเสนอ/ติดตาม
PJ67-0060,External 3 unit,"$11,074.50 ",ใบสั่งซื้อเลขที่ 109/2567 ,10/07/2024 0:00,11/07/2024 0:00,10/08/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0112,ปรับปรุงฐานข้อมูลองค์ความรู้ด้านข้าว,"$499,000.00 ",ใบสั่งจ้างเลขที่ ศสส.จ18/68,02/12/2024 0:00,03/12/2024 0:00,16/01/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
